ID,Name,Phone,Country,Salary,Pet,Qualification,Experience,WorkHoursPerMonth,Address
89,Brandy Mason,848-664-7073x4755,Germany,65222.0,Dog,School,11.0,116.5,
90,Victor Freeman,(382)963-1217x641,London,93335.0,Dog,School,12.0,103.0,
91,James Ellis,762-533-4484,Italy,40965.0,Bird,BSc,8.0,137.8,
92,Melanie Ortiz,9208842043,Ukraine,54538.0,Cat,MSc,8.0,10.0,
93,Jennifer Dickerson,8277727115,London,38110.0,Bird,BSc,6.0,10.0,
94,Katherine Navarro,001-997-983-1781x8569,Japan,57266.0,Cat,MSc,9.0,18.1,
95,Michael Clarke,+1-554-883-4174x0784,Japan,82992.0,Fish,PhD,12.0,10.0,
96,Susan Mitchell,901.908.2011,Japan,36910.0,Fish,MSc,6.0,66.5,
97,Mr. Thomas Terry,+1-759-534-2625x173,London,30206.0,Dog,MSc,5.0,56.3,
98,Wayne Patterson,001-299-952-7986x416,Ukraine,53419.0,Dog,PhD,9.0,53.9,
99,Angela Romero,,London,80636.0,Dog,School,12.0,57.2,
100,Megan Clay,+1-991-560-3822x130,London,80015.0,Cat,PhD,11.0,10.0,
101,Robert Warren,(325)386-1329x40345,Italy,84268.0,Dog,MSc,12.0,42.2,
102,Joanna Carter,+1-635-791-5540x8843,Italy,48141.0,Bird,PhD,7.0,13.9,
103,Janice Fitzgerald,830-385-7525x830,Ukraine,86044.0,Cat,MSc,12.0,10.0,
104,Amy Tapia,001-264-517-8275,Italy,97214.0,Fish,School,12.0,81.1,
105,Caleb Mcintyre,(597)891-1191,Japan,63827.0,Cat,School,11.0,104.2,
106,Peter Jones,,Italy,85820.0,Dog,MSc,12.0,250.0,
107,Sean Stewart,826-265-1387x890,Japan,92623.0,Bird,School,12.0,110.1,
108,Brooke Taylor,001-516-838-4690x8077,Ukraine,52299.0,Bird,PhD,9.0,78.1,
109,Charles Terry,5963997850,London,73585.0,Dog,School,12.0,66.1,
110,Barbara Perez,+1-473-855-9437x002,London,94044.0,Bird,BSc,12.0,10.0,
111,Brandi Lowe,5946918641,Italy,72557.0,Cat,School,12.0,69.9,
112,Rhonda Smith,001-728-725-9949x055,Japan,79080.0,Cat,BSc,12.0,85.1,
113,Janet Jones,+1-630-693-0152x244,Germany,32693.0,Dog,PhD,8.0,250.0,
114,Tonya Tucker,(612)582-2002x342,Germany,99163.0,Bird,School,12.0,79.9,
115,Lance Shelton,+1-537-731-0877,Germany,55939.0,Fish,School,9.0,86.1,
116,David Barker,,London,78925.0,Cat,School,12.0,75.5,
117,Mark Snyder,573-386-2271,London,72941.0,Cat,PhD,11.0,10.0,
118,Brad Clayton,889-720-8257x01886,Japan,51834.0,Cat,PhD,9.0,166.1,
119,Michael Hendrix,,Italy,48047.0,Cat,BSc,8.0,123.2,
120,Thomas Ibarra,565.276.1916,Germany,56105.0,Fish,MSc,10.0,135.2,
121,Juan Jones,001-635-299-3141x790,Japan,45707.0,Dog,PhD,6.0,10.0,
122,Larry Mahoney,(231)452-0297x836,Japan,51976.0,Cat,School,10.0,192.3,
123,Matthew Murphy,989-402-3943,Italy,74262.0,Bird,BSc,10.0,10.0,
124,Amy Santos,,Japan,53776.0,Fish,School,9.0,112.5,
125,Janice Johnson,+1-889-826-1462x9721,Italy,60080.0,Cat,School,12.0,250.0,
126,Tamara Williams,(772)272-0516x8941,Ukraine,96842.0,Bird,PhD,12.0,10.0,
127,Andrew Cunningham,(224)815-5610x193,Italy,91373.0,Cat,MSc,12.0,34.7,
128,Karen Miles,(840)362-7025x85425,Germany,36776.0,Dog,School,6.0,46.7,
129,Katherine Riddle,498-616-6321,Germany,85016.0,Fish,PhD,12.0,34.7,
130,Elizabeth Mays,449-983-0662,Italy,39474.0,Dog,BSc,5.0,10.0,
131,Dawn Welch,879.575.8518,Ukraine,88053.0,Fish,School,12.0,94.9,
132,Marissa Clayton,+1-352-823-9555x608,Ukraine,51959.0,Cat,BSc,7.0,10.0,
133,Alexander Alexander,473-399-6719x45722,Germany,35530.0,Cat,PhD,6.0,82.9,
134,Lucas Werner,8477462321,Ukraine,33748.0,Fish,PhD,4.0,10.0,
135,David Potts,001-976-404-0063x1059,Japan,43545.0,Bird,PhD,9.0,198.5,
136,Steven Howard,001-857-905-6611x3093,London,96199.0,Bird,PhD,12.0,17.9,
137,Kimberly Humphrey,(781)454-8086x69458,Japan,64766.0,Cat,PhD,10.0,32.6,
138,Monica Graves,+1-292-244-3191,Germany,91087.0,Cat,MSc,12.0,172.4,
139,Krista Wells,001-823-467-4648x549,Ukraine,98840.0,Dog,BSc,12.0,10.0,
140,Michelle Smith DVM,001-456-441-6912,Italy,84384.0,Cat,MSc,12.0,107.1,
141,Rebecca Pacheco,(627)692-6353x8683,London,81005.0,Fish,BSc,12.0,211.7,
142,,(879)828-0035,Italy,76576.0,Bird,School,11.0,10.0,
143,Carol Holder,,Germany,69353.0,Bird,School,11.0,87.8,
144,Robert Smith,599.897.3881,Ukraine,92003.0,Dog,BSc,12.0,118.0,
145,Nathan Fischer,+1-401-894-1006x50230,Italy,82733.0,Bird,School,12.0,160.9,
146,Jennifer French,001-987-537-1711,Italy,95318.0,Bird,School,12.0,10.0,
147,Christine Rodriguez,454-681-0953x54862,London,53664.0,Fish,School,7.0,10.0,
148,Mackenzie Newman,+1-825-713-0089x5340,London,97172.0,Bird,MSc,12.0,149.4,
149,Crystal Parker,895.804.1487x6323,Ukraine,56736.0,Dog,MSc,9.0,86.4,
150,Katherine Castillo,(624)919-8028,London,30854.0,Dog,PhD,5.0,55.9,
151,Mark Tran,,Italy,68623.0,Bird,BSc,11.0,103.3,
152,Timothy Wilson,+1-847-988-8799x635,Italy,37392.0,Cat,School,5.0,10.0,
153,Dean Smith Jr.,303-868-5445,Germany,85680.0,Bird,BSc,12.0,108.9,
154,Oscar Rice,001-752-868-6877x395,Italy,76717.0,Dog,PhD,12.0,106.0,
155,Alexander Miller,+1-957-891-2080x332,Ukraine,80859.0,Dog,PhD,12.0,10.0,
156,Keith Peck,(401)777-4491x26941,Japan,56309.0,Fish,School,11.0,242.9,
157,Vernon Hood,(897)429-5034x1250,Germany,93734.0,Bird,PhD,12.0,141.1,
158,Robert Ortiz,(306)228-7255x178,Germany,82662.0,Bird,School,12.0,10.0,
159,Russell Wong,(384)860-1147,Ukraine,42688.0,Fish,PhD,7.0,108.3,
160,Jay Nguyen,(599)939-3910x7030,Ukraine,55342.0,Dog,PhD,8.0,10.0,
161,Emily Dean,(257)889-4201x24751,London,67157.0,Fish,School,12.0,145.9,
162,David Graham,553-495-4481x6602,Germany,97863.0,Cat,PhD,12.0,213.7,
163,,(733)491-2343x8313,London,82083.0,Bird,PhD,12.0,10.0,
164,John Burke,(257)533-8570x09858,Italy,95733.0,Dog,PhD,12.0,192.1,
165,Kimberly Mccormick,509-209-6769x804,Germany,64698.0,Fish,BSc,11.0,106.0,
166,Dorothy Gutierrez,(683)808-0297,Germany,52671.0,Dog,MSc,9.0,134.9,
167,,278-602-5461,Japan,55184.0,Cat,BSc,11.0,244.9,
168,Linda Vasquez,558.611.0351x4391,Germany,72107.0,Bird,PhD,11.0,47.6,
169,Natalie Turner,683-629-7647,Italy,81663.0,Fish,MSc,12.0,10.0,
170,Sarah Moreno,2717462803,London,45708.0,Dog,BSc,6.0,10.0,
171,Justin Ferrell,3092068780,London,79811.0,Bird,BSc,12.0,10.0,
172,Shelly Frey,001-415-985-5190,Japan,32811.0,Bird,BSc,5.0,25.1,
173,Brian Young,,Italy,86250.0,Dog,School,12.0,120.4,
174,,(460)470-9877,London,64754.0,Bird,PhD,11.0,92.4,
175,Kevin Jones,001-867-522-6814x912,Ukraine,41411.0,Bird,PhD,7.0,124.1,
176,Selena Reese,001-563-401-9265,Italy,32911.0,Fish,MSc,5.0,34.2,
177,Jennifer Barnes,+1-755-337-3567x7969,Italy,97270.0,Bird,BSc,12.0,242.6,
178,Joe Horton,(331)734-2729x5154,Japan,38680.0,Fish,PhD,6.0,12.2,
179,Lisa Barker,(808)924-0249,London,41111.0,Bird,BSc,9.0,250.0,
180,Isabella French,+1-390-571-2797x96717,Italy,67504.0,Cat,PhD,11.0,130.1,
181,Nicholas Downs,(540)609-7974x1927,London,31802.0,Cat,BSc,4.0,10.0,
182,Jaime Evans,475.544.8843x844,Ukraine,38155.0,Fish,PhD,5.0,10.0,
183,Adriana Reyes,(323)844-9841x58312,Japan,69384.0,Fish,MSc,12.0,117.6,
184,Kevin Harris,270.224.9581x5979,Ukraine,77254.0,Cat,BSc,12.0,54.9,
185,Jeffrey Dixon,(447)434-5564,Japan,51918.0,Bird,PhD,9.0,123.3,
186,April Williams,383-531-8387x132,Italy,90713.0,Fish,MSc,12.0,138.0,
187,Jessica Bennett,+1-467-284-4056x18453,Japan,60306.0,Dog,MSc,10.0,53.0,
188,Stephen Gordon,+1-664-777-0045x82813,Germany,46646.0,Bird,PhD,7.0,10.0,
189,Tracy Harris,3865523070,London,76843.0,Bird,BSc,11.0,10.0,
190,Catherine Simmons,973-495-4803,London,46371.0,Cat,School,7.0,10.0,
191,Dale Kelly,848-632-2307x0826,Germany,32049.0,Fish,MSc,6.0,117.7,
192,Mr. Brian Armstrong DDS,+1-903-615-3609x8561,Ukraine,61616.0,Bird,MSc,10.0,83.0,
193,Nancy Reed,001-957-208-1927x682,Germany,50932.0,Fish,PhD,7.0,10.0,
194,Destiny Brady,511.913.1936x83368,Italy,59855.0,Fish,School,10.0,77.2,
195,Andrew Bradshaw,(389)462-6746x338,Italy,91434.0,Fish,School,12.0,130.0,
196,Robert Giles,+1-520-228-2937x56198,London,73016.0,Cat,School,11.0,10.0,
197,Susan Davis,874-740-2656x76784,Italy,37400.0,Fish,PhD,6.0,52.8,
198,Douglas Hanson,,London,72642.0,Cat,BSc,12.0,78.5,
199,Mark Ramirez,217-858-4122x609,Germany,45151.0,Dog,MSc,6.0,10.0,
200,Susan Johnson,410-452-4814x016,Germany,81407.0,Bird,PhD,12.0,117.2,
201,Mrs. Carolyn Martinez,(993)851-3790x3790,Germany,96690.0,Bird,School,12.0,152.8,
202,Glenn Park,(919)978-1059x14257,London,34499.0,Dog,MSc,7.0,142.8,
203,Andrew Avery,(683)608-6466,Germany,36295.0,Cat,MSc,7.0,141.7,
204,Jennifer Combs,001-308-480-0516,Germany,89040.0,Bird,School,12.0,10.0,
205,Steven Liu,508.275.6159,Ukraine,42183.0,Cat,School,6.0,10.0,
206,Antonio White,4368965109,Germany,59299.0,Cat,MSc,10.0,110.8,
207,Kimberly Smith,(896)785-3701x9767,Italy,42874.0,Cat,MSc,7.0,94.3,
208,Kimberly Chen,604.818.9550x8755,London,62711.0,Dog,BSc,11.0,114.2,
209,Desiree Sloan,757.523.1822,Ukraine,35539.0,Dog,BSc,10.0,250.0,
210,William Lopez,,Japan,83351.0,Cat,PhD,12.0,140.4,
211,Diane Bryant,755.422.1428,London,91267.0,Fish,MSc,12.0,204.8,
212,Peter Espinoza,807-232-1403,Italy,78354.0,Dog,BSc,12.0,173.8,
213,Emily Brown,001-851-641-9154,London,32557.0,Fish,MSc,6.0,97.7,
214,Lisa Gutierrez,4765321777,Italy,68360.0,Fish,School,11.0,36.8,
215,Ruben Rollins,+1-821-281-1961x42455,Italy,32200.0,Cat,BSc,6.0,108.1,
216,Michelle Hall,406-309-0492,Japan,98497.0,Fish,School,12.0,21.2,
217,Cynthia Anderson,810-459-7990,London,76975.0,Fish,School,12.0,53.3,
218,Samantha Williams,001-978-595-3695x714,Japan,51357.0,Fish,School,8.0,10.0,
219,Lucas Patrick,001-917-293-6808,Japan,32869.0,Cat,PhD,5.0,41.1,
220,Jasmine King,001-826-896-5636,London,91135.0,Cat,School,12.0,250.0,
221,Daniel Powell,(382)709-9196x3786,Germany,80108.0,Dog,PhD,11.0,10.0,
222,Anna Mills,(383)887-1575x88959,Germany,68467.0,Dog,MSc,12.0,137.1,
223,Donald Martin,001-853-282-7361x67094,Japan,53328.0,Fish,MSc,7.0,10.0,
224,Stephanie Golden,001-313-629-8822,Ukraine,33987.0,Cat,BSc,5.0,10.0,
225,Brandon Davis,458-765-7885,Japan,88871.0,Cat,BSc,12.0,197.8,
226,Matthew Hess,379.711.7380x3494,Japan,52399.0,Fish,PhD,8.0,58.8,
227,Joel King,235.854.4995x397,Japan,76214.0,Dog,MSc,11.0,10.0,
228,Jason Jackson,244-267-0399x5810,Germany,74064.0,Cat,BSc,11.0,10.0,
229,Charles Miller,341-864-8211,Germany,70818.0,Dog,BSc,12.0,138.8,
230,Julia Reynolds,7883050859,Germany,75525.0,Fish,BSc,11.0,10.0,
231,Alyssa Wood,001-337-573-2417x9578,Japan,49830.0,Cat,MSc,8.0,71.5,
232,James Hill,(722)447-6624x11946,Ukraine,47429.0,Fish,BSc,8.0,52.0,
233,Amy Miller,+1-753-656-1948x6915,Germany,36893.0,Bird,MSc,5.0,10.0,
234,Mark Li,001-869-359-4406x930,London,77333.0,Fish,School,12.0,250.0,
235,Thomas Landry,(388)732-2057x4726,London,33436.0,Fish,School,6.0,96.8,
236,Tina Glover,+1-997-254-8829,London,35895.0,Fish,School,4.0,10.0,
237,David Rubio,768.867.8988x047,Italy,49738.0,Cat,PhD,8.0,68.4,
238,Peter Lopez,001-545-900-1020x928,Japan,60746.0,Fish,MSc,9.0,10.0,
239,Paul Dyer,001-353-229-6026x8912,London,79377.0,Fish,BSc,12.0,164.6,
240,Eric Gonzalez,,Japan,78404.0,Bird,PhD,12.0,10.0,
241,Francisco Hawkins,(456)606-0979,London,84045.0,Cat,PhD,12.0,72.6,
242,James Holder,4616366695,Ukraine,69790.0,Bird,School,12.0,120.3,
243,Christopher Cooper,943.855.4600x63066,Japan,35600.0,Fish,MSc,7.0,122.2,
244,Paul Nolan,,London,70764.0,Cat,BSc,10.0,10.0,
245,Kelly James,(273)950-9798,Germany,75714.0,Bird,PhD,12.0,42.3,
246,James Moreno,683.846.8206x456,Japan,86835.0,Fish,BSc,12.0,39.3,
247,Juan Young,854.743.5197x24834,Italy,86491.0,Dog,School,12.0,21.2,
248,Teresa Johnson,,Germany,48589.0,Bird,MSc,10.0,225.1,
249,,+1-375-586-7419x773,Germany,73484.0,Cat,BSc,12.0,114.0,
59,Stephanie Jones,+1-243-313-9164x66159,Germany,39268.0,Bird,School,7.0,136.8,
156,Keith Peck,(401)777-4491x26941,Japan,56309.0,Fish,School,11.0,242.9,
122,Larry Mahoney,(231)452-0297x836,Japan,51976.0,Cat,School,10.0,192.3,
225,Brandon Davis,458-765-7885,Japan,88871.0,Cat,BSc,12.0,197.8,
91,James Ellis,762-533-4484,Italy,40965.0,Bird,BSc,8.0,137.8,
96,Susan Mitchell,901.908.2011,Japan,36910.0,Fish,MSc,6.0,66.5,
25,Shane Lewis,001-573-850-0539,Italy,97435.0,Bird,PhD,12.0,108.5,
195,Andrew Bradshaw,(389)462-6746x338,Italy,91434.0,Fish,School,12.0,130.0,
103,Janice Fitzgerald,830-385-7525x830,Ukraine,86044.0,Cat,MSc,12.0,10.0,
90,Victor Freeman,(382)963-1217x641,London,93335.0,Dog,School,12.0,103.0,
81,Michael Duffy,5272158727,London,33561.0,Cat,PhD,6.0,69.3,
126,,(772)272-0516x8941,Ukraine,96842.0,Bird,PhD,12.0,10.0,
48,Valerie Bowman,820-335-6542x9230,Germany,39692.0,Fish,BSc,7.0,74.1,
172,Shelly Frey,001-415-985-5190,Japan,32811.0,Bird,BSc,5.0,25.1,
207,Kimberly Smith,(896)785-3701x9767,Italy,42874.0,Cat,MSc,7.0,94.3,
63,Joshua Hickman,+1-311-995-3784x5718,Ukraine,38571.0,Cat,MSc,5.0,10.0,
54,Crystal Santos,001-840-515-5191x0442,London,70397.0,Dog,School,12.0,173.5,
197,Susan Davis,874-740-2656x76784,Italy,37400.0,Fish,PhD,6.0,52.8,
210,William Lopez,(941)372-2105x0132,Japan,83351.0,Cat,PhD,12.0,140.4,
154,,001-752-868-6877x395,Italy,76717.0,Dog,PhD,12.0,106.0,
